19,Dieses Jahr haben wir eine kleine Überraschung vorbereitet.,This year we prepared a little surprise.,[sound:DE1K_jahr_sentence.mp3]
20,Wieso hast du dich für den Fisch entschieden?,Why did you choose the fish?,[sound:DE1K_wieso_sentence.mp3]
21,Genau darauf habe ich gewartet!,That's exactly what I've been waiting for!,[sound:DE1K_genau_sentence.mp3]
22,Mark und ich haben die gleiche Brotdose.,Mark and I have the same bread box.,[sound:DE1K_gleichen_sentence.mp3]
23,"Ich würde ihn gerne besuchen, aber ich habe kein Auto.","I would like to visit him, but I don't have a car.",[sound:DE1K_aber_sentence.mp3]
24,Diese Süßigkeiten werden aus Japan importiert.,These sweets are imported from Japan.,[sound:DE1K_aus_sentence.mp3]
25,Nach der Schule möchte ich Pilot werden.,"After school, I want to become a pilot.",[sound:DE1K_nach_sentence.mp3]
26,Ich habe noch keine Nachricht von ihr bekommen.,I haven't received a message from her yet.,[sound:DE1K_noch_sentence.mp3]
27,Habe ich dir die Geschichte vom Krokodil in unserem Pool erzählt?,Did I tell you the story of the crocodile in our pool?,[sound:DE1K_erzählen_sentence.mp3]
28,Welcher Mensch mag schon Essiggurken?,Which person likes pickles?,[sound:DE1K_mensch_sentence.mp3]
29,Grünkohl habe ich nie wirklich gemocht.,I never really liked kale.,[sound:DE1K_nie_sentence.mp3]
30,Der Sonnenuntergang sieht besonders schön aus.,The sunset looks particularly beautiful.,[sound:DE1K_schön_sentence.mp3]
31,"Meine neue Handynummer hast du noch nicht, oder?","You don't have my new cell phone number yet, do you?",[sound:DE1K_nicht_sentence.mp3]
32,Für dieses Rezept brauchen wir noch drei Eier.,We still need three eggs for this recipe.,[sound:DE1K_brauchen_sentence.mp3]
33,Ich kann dich auf diesem Foto irgendwie nicht erkennen.,I somehow don't recognize you in this photo.,[sound:DE1K_können_sentence.mp3]
34,Warum hast du mich gestern nicht angerufen?,Why didn't you call me yesterday?,[sound:DE1K_warum_sentence.mp3]
35,"Ich glaube nicht, dass ich davon krank werde.",I don't believe I'll get sick from it.,[sound:DE1K_glauben_sentence.mp3]
36,Sie bekommt zwei mal so viele Geschenke wie ich.,She gets two times as many gifts as I do.,[sound:DE1K_mal_sentence.mp3]
37,Ein Kind in dem Alter kann sich schon alleine anziehen.,A child of that age can get dressed alone.,[sound:DE1K_kind_sentence.mp3]
38,Von dem Geld kann ich mir ein neues Handy leisten.,I can afford a new cell phone with that money.,[sound:DE1K_geld_sentence.mp3]
39,"Das kann ich mir nicht leisten, es kostet zu viel Geld.","I can't afford that, it costs too much money.",[sound:DE1K_viel_sentence.mp3]
40,Mit einem Staubsauger kann man den Boden viel schneller reinigen.,You can clean the ground much faster with a vacuum.,[sound:DE1K_mit_sentence.mp3]
41,Meine Oma kann viel besser stricken als deine.,My grandma can knit much better than yours.,[sound:DE1K_als_sentence.mp3]
42,Vor dem Haus stehen viele Apfelbäume.,There are many apple trees in front of the house.,[sound:DE1K_vor_sentence.mp3]
43,"Ich finde, Herr Müller gibt uns zu viele Hausaufgaben.",I think Mr. Müller gives us too much homework.,[sound:DE1K_herr_sentence.mp3]
44,Ich bin ziemlich zufrieden mit dem Ergebnis.,I am quite satisfied with the result.,[sound:DE1K_sein_sentence.mp3]
45,"Ich fahre mit der Bahn nach Köln, um meine kleine Schwester abzuholen.",I'm taking the train to Cologne to pick up my little sister.,[sound:DE1K_fahren_sentence.mp3]
46,"Er hat vor Schmerzen gestöhnt, als ich ihm das Pflaster abgerissen habe.",He groaned in pain when I ripped off his Band-Aid.,[sound:DE1K_stöhnen_sentence.mp3]
47,"Kannst du mir sagen, wo das scharfe Messer hin ist?",Can you tell me where the sharp knife is?,[sound:DE1K_sagen_sentence.mp3]
48,Er hat sein Bein bei einem Unfall verloren.,He lost his leg in an accident.,[sound:DE1K_bei_sentence.mp3]
49,"Deine Schuhe sind nass, also musst du sie ausziehen.","Your shoes are wet, so you have to take them off.",[sound:DE1K_also_sentence.mp3]
50,Der Flug zwischen München und Bangkok war sehr lang.,The flight between Munich and Bangkok was very long.,[sound:DE1K_sehr_sentence.mp3]
51,Ich bin gerade frisch aus der Dusche gekommen.,I just got out of the shower.,[sound:DE1K_gerade_sentence.mp3]
52,"Wenn es zu warm ist, bleibt der Schnee nicht liegen.","If it is too warm, the snow will not stick around.",[sound:DE1K_bleiben_sentence.mp3]
53,Anja und Paul sind seit sieben Jahren zusammen.,Anja and Paul have been together for seven years.,[sound:DE1K_zusammen_sentence.mp3]
54,"Was ist mit dem Geschenk passiert, das wir gekauft haben?",What happened to the gift that we bought?,[sound:DE1K_passieren_sentence.mp3]
55,"Diese neuen Schuhe, die ich mir bestellt habe, sind mir zu groß.",These new shoes that I ordered are too big for me.,[sound:DE1K_groß_sentence.mp3]
56,Bei dir gibt's immer was Leckeres!,You always have something delicious!,[sound:DE1K_immer_sentence.mp3]
57,Die Frau hatte eine sehr komische Frisur.,The woman had a very strange hairstyle.,[sound:DE1K_frau_sentence.mp3]
58,Ich kenne den Schmerz sehr gut.,I know that pain too well.,[sound:DE1K_kennen_sentence.mp3]
59,"Um gesund zu bleiben, muss man viel Wasser trinken.","To stay healthy, you have to drink a lot of water.",[sound:DE1K_müssen_sentence.mp3]
60,"Wenn wir zusammen sind, vergeht die Zeit blitzschnell.","When we are together, time passes at lightning speed.",[sound:DE1K_zeit_sentence.mp3]
61,Die Kinder wollen immer nur Schokolade essen.,Children only want to eat chocolate.,[sound:DE1K_wollen_sentence.mp3]
62,"Meine Freundin behauptet immer, sie hätte nichts zum Anziehen.",My girlfriend always claims that she has nothing to wear.,[sound:DE1K_nichts_sentence.mp3]
63,"Er seufzt immer so, wenn er müde ist.",He always sighs when he is tired.,[sound:DE1K_seufzen_sentence.mp3]
64,Den Morgen beginne ich immer mit einem kleinen Kaffee.,I always start the morning with a small coffee.,[sound:DE1K_morgen_sentence.mp3]
65,"Um die Glühbirne zu wechseln, musst du auf dem Esstisch stehen.","To change the light bulb, you have to stand on the dining table.",[sound:DE1K_auf_sentence.mp3]
66,Du musst jetzt ins Bett.,You have to go to bed now.,[sound:DE1K_jetzt_sentence.mp3]
67,"Ich muss mich eincremen, damit meine Haut nicht so rau bleibt.",I have to apply cream so that my skin doesn't stay so rough.,[sound:DE1K_damit_sentence.mp3]
68,"Ich habe gar keine Zeit, um mir den Film anzuschauen.",I have no time at all to watch the film.,[sound:DE1K_gar_sentence.mp3]
69,"Bist du dir sicher, dass du den Blauen willst?",Are you sure you want the blue one?,[sound:DE1K_sichern_sentence.mp3]
70,Warum willst du einen Füller ohne Tintenpatrone kaufen?,Why would you want to buy a fountain pen without an ink cartridge?,[sound:DE1K_ohne_sentence.mp3]
71,Er hat mich die ganze Zeit nichts gefragt.,He didn't ask me anything the whole time.,[sound:DE1K_fragen_sentence.mp3]
72,Gehst du morgen mit ihm ins Kino?,Are you going to the cinema with him tomorrow?,[sound:DE1K_gehen_sentence.mp3]
73,"Mir fällt es echt schwer, jeden Morgen aufzustehen.",It is really difficult for me to get up every morning.,[sound:DE1K_echt_sentence.mp3]
74,Neil Armstrong war der erste Mensch auf dem Mond.,Neil Armstrong was the first person on the moon.,[sound:DE1K_erst_sentence.mp3]
75,"Kennst du jemanden, der mir damit helfen könnte?",Do you know someone who could help me with it?,[sound:DE1K_jemand_sentence.mp3]
76,Er hat sich die Hände ohne Seife gewaschen.,He washed his hands without soap.,[sound:DE1K_sich_sentence.mp3]
77,Wie kommst du ohne Fahrrad so schnell nach Hause?,How do you get home so quickly without a bike?,[sound:DE1K_wie_sentence.mp3]
78,Ohne Schuhe kann man nicht weit laufen.,You can't walk far without shoes.,[sound:DE1K_weit_sentence.mp3]
79,Ohne Hut dürfen die Kinder nicht am Strand spielen.,The children are not allowed to play on the beach without a hat.,[sound:DE1K_dürfen_sentence.mp3]
80,Mein Vater hat die Frage nicht richtig verstanden.,My father did not understand the question correctly.,[sound:DE1K_richtig_sentence.mp3]
81,Ich entscheide mich doch lieber für eine Cola.,I've decided on a Coke after all.,[sound:DE1K_doch_sentence.mp3]
82,Sie hat sich wahrscheinlich wieder im Wald verlaufen.,She probably got lost in the woods again.,[sound:DE1K_wieder_sentence.mp3]
83,"Ich lerne gerne Sprachen, weil ich mich für andere Kulturen interessiere.",I like to learn languages ​​because I am interested in other cultures.,[sound:DE1K_weil_sentence.mp3]
84,Er nimmt sich eine dicke Scheibe Käse.,He grabs a thick slice of cheese.,[sound:DE1K_nehmen_sentence.mp3]
85,Eigentlich kann ich mich nicht beschweren.,"Actually, I can't complain.",[sound:DE1K_eigentlich_sentence.mp3]
86,Ich fühle mich in dieser Stadt nicht wohl.,I don't feel comfortable in this city.,[sound:DE1K_wohl_sentence.mp3]
87,Am Abend können wir uns einen Film anschauen.,"In the evening, we can watch a film.",[sound:DE1K_abend_sentence.mp3]
88,Deutschland ist sehr weit weg von Australien.,Germany is very far from Australia.,[sound:DE1K_weg_sentence.mp3]
89,Wegen seiner Nussallergie darf er nur Hafermilch trinken.,"Because of his nut allergy, he can only drink oat milk.",[sound:DE1K_nur_sentence.mp3]
90,Lass mich doch bitte in Ruhe!,Please leave me in peace!,[sound:DE1K_lassen_sentence.mp3]
91,"Ich habe Durst, denn ich habe meine Trinkflasche schon wieder vergessen.",I'm thirsty because I forgot my drinking bottle again.,[sound:DE1K_denn_sentence.mp3]
92,"Ich muss heute zum Arzt, weil ich krank bin.",I have to go to the doctor today because I'm sick.,[sound:DE1K_heute_sentence.mp3]
93,Wie oft sollte man sich eigentlich die Zähne putzen?,How often should you brush your teeth?,[sound:DE1K_sollen_sentence.mp3]
94,"Darauf zu verzichten, ist wohl doch nicht so einfach, oder?","I guess it's not so easy to do without it, is it?",[sound:DE1K_einfach_sentence.mp3]
95,Der Teig braucht nur ein bisschen Salz.,The dough only needs a little salt.,[sound:DE1K_bisschen_sentence.mp3]
96,Worüber wollen wir denn reden?,What do we want to talk about?,[sound:DE1K_reden_sentence.mp3]
97,"Mach doch einfach das, worauf du Lust hast.",Just do what you feel like.,[sound:DE1K_machen_sentence.mp3]
98,"Ich mag diesen Tee nicht so wirklich, er schmeckt mir einfach nicht.","I don't really like this tea, it just doesn't taste good to me.",[sound:DE1K_mögen_sentence.mp3]
99,"Ich hatte einfach einen Bärenhunger, sonst hätte ich mir nicht so viele Brezeln gegönnt.","I was simply ravenous, otherwise I would not have treated myself to so many pretzels.",[sound:DE1K_sonst_sentence.mp3]
100,Mach dir nicht so viele Gedanken dazu.,Don't worry about it.,[sound:DE1K_gedanke_sentence.mp3]
101,Ich will doch nicht immer etwas neues ausprobieren müssen.,I don't always want to have to try something new.,[sound:DE1K_etwas_sentence.mp3]
102,Warum kommt Hannah immer so spät nach Hause?,Why is Hannah always coming home so late?,[sound:DE1K_spät_sentence.mp3]
103,"Sei doch leise, das Baby ist gerade eingeschlafen!","Be quiet, the baby just fell asleep!",[sound:DE1K_leise_sentence.mp3]
104,Ich habe es dir doch eben gesagt!,I just told you!,[sound:DE1K_eben_sentence.mp3]
105,"Meine Tomatenpflanze ist gestorben, weil ich sie nicht gegossen habe.",My tomato plant died because I didn't water it.,[sound:DE1K_sterben_sentence.mp3]
106,"Mir ist es egal, ob du deine Schuhe im Haus anbehältst.",I don't care if you keep your shoes on in the house.,[sound:DE1K_egal_sentence.mp3]
107,Obst und Gemüse sind für eine ausgewogene Ernährung wichtig.,Fruit and vegetables are important for a balanced diet.,[sound:DE1K_wichtig_sentence.mp3]
108,"Wenn mein Deutsch besser ist, werde ich diese Serie auch ohne Untertitel gucken können.","When my German is better, I will be able to watch this series without subtitles.",[sound:DE1K_gucken_sentence.mp3]
109,Wollen wir uns in der neuen Trampolinhalle treffen?,Do we want to meet in the new trampoline hall?,[sound:DE1K_treffen_sentence.mp3]
110,"Das Wort ""Saxophon"" kann man auch mit F schreiben.","The word ""saxophone"" can also be written with F.",[sound:DE1K_schreiben_sentence.mp3]
111,Warst du schon einmal in Deutschland?,Have you ever been to Germany?,[sound:DE1K_einmal_sentence.mp3]
112,Ich suche nach süßen Katzenfotos.,I'm looking for cute cat photos.,[sound:DE1K_suchen_sentence.mp3]
113,So was abartiges hätte niemand kommen sehen.,Nobody would have seen something like that.,[sound:DE1K_niemand_sentence.mp3]
114,"Hör auf, mir an meinem Ärmel zu ziehen!",Stop pulling my sleeve!,[sound:DE1K_ziehen_sentence.mp3]
115,"Ich freue mich, dass ihm der Elefant gefallen hat.",I am pleased that he liked the elephant.,[sound:DE1K_freuen_sentence.mp3]
116,Seine Eltern haben nicht die geringste Idee von Computern.,His parents don't have the slightest idea about computers.,[sound:DE1K_eltern_sentence.mp3]
117,"Hast du eine Ahnung, warum mir so was immer wieder passiert?",Do you have any idea why something like that keeps happening to me?,[sound:DE1K_ahnung_sentence.mp3]
118,"Wenn du medizinischen Rat brauchst, solltest du besser zum Arzt gehen.","If you need medical advice, you should better go to the doctor.",[sound:DE1K_arzt_sentence.mp3]
119,Der Elefant ist das schwerste Tier im ganzen Zoo.,The elephant is the heaviest animal in the whole zoo.,[sound:DE1K_schwer_sentence.mp3]
120,"So, ich mach mich mal dann auf den Weg nach Hause, tschüss!","Well, I'll be on my way home, bye!",[sound:DE1K_tschüss_sentence.mp3]
121,"Es fühlt sich nicht gut an, wenn ein Sandkorn ins Auge gelangt.",It doesn't feel good when a grain of sand gets in my eye.,[sound:DE1K_auge_sentence.mp3]
122,Ich habe mich aus Versehen in ihn verliebt.,I accidentally fell in love with him.,[sound:DE1K_verlieben_sentence.mp3]
123,Darf ich mich vorstellen?,May I introduce myself?,[sound:DE1K_vorstellen_sentence.mp3]
124,Hast du Angst vor dem Tod?,Are you afraid of death?,[sound:DE1K_tod_sentence.mp3]
125,Ich versuche mir diese Sprache beizubringen.,I'm trying to teach myself this language.,[sound:DE1K_versuchen_sentence.mp3]
126,Wir sehen uns am Mittwoch wieder!,See you again on Wednesday!,[sound:DE1K_wiedersehen_sentence.mp3]
127,"Deutsch ist die Sprache, die für mich am schönsten klingt.",German is the language that sounds most beautiful to me.,[sound:DE1K_klingen_sentence.mp3]
128,Für so einen Quatsch gebe ich doch kein Geld aus.,I don't spend any money on such nonsense.,[sound:DE1K_quatsch_sentence.mp3]
129,"Er trinkt keinen Tee, sondern lieber Kaffee.","He doesn't drink tea, but rather coffee.",[sound:DE1K_sondern_sentence.mp3]
130,Ich bin glücklich wenn ich in der Natur bin,I'm happy when I'm in nature,[sound:DE1K_glücklich_sentence.mp3]
131,"Ich lerne Deutsch nach einer neuen Methode, man nennt es Immersion.","I'm learning German using a new method, it's called immersion.",[sound:DE1K_nennen_sentence.mp3]
132,Die Schule ist nicht weit von hier.,The school is not far from here.,[sound:DE1K_schule_sentence.mp3]
133,Er macht sich scheinbar zu viele Sorgen.,He seems to worry too much.,[sound:DE1K_sorge_sentence.mp3]
134,Ich habe mich entschieden zu dem Konzert zu fahren.,I decided to go to the concert.,[sound:DE1K_entscheiden_sentence.mp3]
135,"Nein, wir verkaufen keine Zigaretten an Minderjährige.","No, we don't sell cigarettes to minors.",[sound:DE1K_verkaufen_sentence.mp3]
136,Mit Anki kann ich mir viel besser neue Vokabeln merken.,"With Anki, I can remember new vocabulary much better.",[sound:DE1K_merken_sentence.mp3]
137,Der Honig steht ganz oben im Regal.,The honey is on the top shelf.,[sound:DE1K_oben_sentence.mp3]
138,Woher hast du diese ganzen Bücher?,Where did you get all the books from?,[sound:DE1K_woher_sentence.mp3]
139,Ein neues Gerät wäre völlig unnötig.,A new device would be completely unnecessary.,[sound:DE1K_völlig_sentence.mp3]
140,"Es regnet draußen, ich habe keinen Bock, rauszugehen.","It's raining outside, I don't feel like going out.",[sound:DE1K_draußen_sentence.mp3]
141,"Bin ich hier wirklich der einzige, der keine Tomaten mag?",Am I really the only one who doesn't like tomatoes?,[sound:DE1K_einzig_sentence.mp3]
142,Ich habe mich damals nicht wertgeschätzt gefühlt.,I didn't feel valued at the time.,[sound:DE1K_damals_sentence.mp3]
143,Ist dir nicht kalt? Du hast kaum was an!,Aren't you cold? You're barely wearing anything!,[sound:DE1K_kaum_sentence.mp3]
144,Die Kinder sind außer Kontrolle.,The children are out of control.,[sound:DE1K_außer_sentence.mp3]
145,Ich habe etwa 50€ bei mir.,I have about 50 € on me.,[sound:DE1K_etwa_sentence.mp3]
146,Hast du den neuen Film geschaut?,Did you watch the new film?,[sound:DE1K_schauen_sentence.mp3]
147,An heißen Tagen muss man immer sehr viel Wasser trinken.,On hot days you always have to drink a lot of water.,[sound:DE1K_heiß_sentence.mp3]
148,Im Museum habe ich so ein schönes Bild gesehen. Daran muss ich immer noch denken.,I saw such a beautiful picture in the museum. I still think about it.,[sound:DE1K_bild_sentence.mp3]
149,Nehmen Sie sich ein Beispiel an Ihrem Vater.,Take your father as an example.,[sound:DE1K_beispiel_sentence.mp3]
150,Haben Sie Pläne für die Zukunft?,Do you have plans for the future?,[sound:DE1K_zukunft_sentence.mp3]
151,Jetzt habe ich plötzlich zwei Probleme.,Now I suddenly have two problems.,[sound:DE1K_plötzlich_sentence.mp3]
152,"Ich will nicht stören, aber ich hätte da eine Frage.","I don't want to bother you, but I have a question.",[sound:DE1K_stören_sentence.mp3]
153,"Du hattest vergessen, dass Mama Geburtstag hat.",You forgot it was mom's birthday.,[sound:DE1K_geburtstag_sentence.mp3]
154,Wieso heulst du? Alles wird wieder gut.,Why are you crying? Everything will be all right.,[sound:DE1K_heulen_sentence.mp3]
155,"Du hast mir das Leben gerettet, Frau Haas.","You saved my life, Ms. Haas.",[sound:DE1K_retten_sentence.mp3]
156,"Meine Mutter liebt es einfach, mich zu nerven!",My mother just loves to annoy me!,[sound:DE1K_nerven_sentence.mp3]
157,Für die Creme habe ich im Supermarkt 50 Euro bezahlt.,I paid 50 euros for cream in the supermarket.,[sound:DE1K_bezahlen_sentence.mp3]
158,Auf der Pizza fehlen nur noch die Champignons.,The only thing missing from the pizza is the mushrooms.,[sound:DE1K_fehlen_sentence.mp3]
159,Aber wir müssen natürlich auch die ganze Geschichte erzählen.,"But, of course, we have to tell the whole story.",[sound:DE1K_geschichte_sentence.mp3]
160,Ein bisschen Käse kann dir doch nicht schaden.,A little cheese can't hurt you.,[sound:DE1K_schaden_sentence.mp3]
161,Du schuldest mir übrigens noch einen Drink.,"Incidentally, you still owe me a drink.",[sound:DE1K_übrigens_sentence.mp3]
162,Darüber habe ich noch nie nachgedacht.,I never thought about it before.,[sound:DE1K_nachdenken_sentence.mp3]
163,Du hast mir die Nase gebrochen!,You broke my nose!,[sound:DE1K_brechen_sentence.mp3]
164,Svenja ist die beste Tante der Welt.,Svenja is the best aunt in the world.,[sound:DE1K_tante_sentence.mp3]
165,"Ach, das ist okay, das zahlt eh mein Vater.","Oh, that's okay, my father pays for that anyway.",[sound:DE1K_zahlen_sentence.mp3]
166,"Um pünktlich anzukommen, muss ich wohl früh aufstehen.","To arrive on time, I guess I'll have to get up early.",[sound:DE1K_früh_sentence.mp3]
167,Das ist allerdings ein Problem.,"However, this is a problem.",[sound:DE1K_allerdings_sentence.mp3]
168,Das Lied hat sie immer gesungen.,She always sang the song.,[sound:DE1K_lied_sentence.mp3]
169,"Ich brauche unbedingt jemanden, mit dem ich reden kann.",I absolutely need someone I can talk to.,[sound:DE1K_unbedingt_sentence.mp3]
170,Ständig redest du über nichts anderes als diese Videospiele!,You constantly talk about nothing but these video games!,[sound:DE1K_ständig_sentence.mp3]
171,"Ich schicke dir eine Postkarte, wenn ich im Sommer am See bin.",I will send you a postcard when I'm at the lake this summer.,[sound:DE1K_schicken_sentence.mp3]
172,"Er wäre ja der perfekte Partner, aber er ist verheiratet.","He would be the perfect partner, but he's married.",[sound:DE1K_verheiraten_sentence.mp3]
173,Vanessa ist groß geworden und hat sich wirklich geändert.,Vanessa grew up and has really changed.,[sound:DE1K_ändern_sentence.mp3]
174,Das scheint nicht so kompliziert zu sein.,That doesn't seem that complicated.,[sound:DE1K_scheinen_sentence.mp3]
175,Das ist einfach ihre Art.,That's just their way.,[sound:DE1K_art_sentence.mp3]
176,Ich hänge noch sehr an dem Gedanken zu studieren.,I am still very attached to studying.,[sound:DE1K_hängen_sentence.mp3]
177,Man sieht ja nicht oft neue Gesichter hier.,You don't often see new faces here.,[sound:DE1K_gesicht_sentence.mp3]
178,So ein Buch würde ich mir auch wünschen.,I would also like to have a book like that.,[sound:DE1K_wünschen_sentence.mp3]
179,"Vielleicht kann Tom dir helfen, das Sofa zu verrücken.",Maybe Tom can help you move the sofa.,[sound:DE1K_verrücken_sentence.mp3]
180,Wir gehen nachher schwimmen. Kommst du auch mit?,We go swimming afterwards. Are you coming with?,[sound:DE1K_nachher_sentence.mp3]
181,"Das ist kein gutes Auto, aber immerhin ist es ein Auto.","This is not a good car, but at least it's a car.",[sound:DE1K_immerhin_sentence.mp3]
182,"Hey, hier bin ich. Wirf den Ball zu mir!","Hey, I'm here. Throw the ball to me!",[sound:DE1K_werfen_sentence.mp3]
183,Mein Freund Thomas und ich möchten nach Rom fliegen.,My friend Thomas and I want to fly to Rome.,[sound:DE1K_fliegen_sentence.mp3]
184,"Ich habe diesen Traum, dass ich viele Freunde finden werde.",I have this dream that I will make many friends.,[sound:DE1K_traum_sentence.mp3]
185,Möchtest du mal von der Suppe kosten? Das ist ein neues Rezept.,Would you like to try some of the soup? It's a new recipe.,[sound:DE1K_kosten_sentence.mp3]
186,"Ich bin keine böse Person, ich möchte helfen!","I'm not a bad person, I want to help!",[sound:DE1K_böse_sentence.mp3]
187,Das neue Albumcover sieht richtig geil aus.,The new album cover looks really cool.,[sound:DE1K_geil_sentence.mp3]
188,Bis jetzt hat das immer gut geklappt!,So far it has always worked out well!,[sound:DE1K_klappen_sentence.mp3]
189,"Weil sie den ganzen Tag im Fitnessstudio ist, ist sie so stark.","Because she is in the gym all day, she is so strong.",[sound:DE1K_stark_sentence.mp3]
190,Im Bus sitzen wir am liebsten ganz hinten.,We prefer to sit at the back of the bus.,[sound:DE1K_hinten_sentence.mp3]
191,Möchtest du mit mir gemeinsam zum Oktoberfest gehen?,Would you like to go to the Oktoberfest with me?,[sound:DE1K_gemeinsam_sentence.mp3]
192,Es kann überall schön sein auf der Welt.,The whole world can be beautiful.,[sound:DE1K_überall_sentence.mp3]
193,Du hast so viel gelernt. Du kannst stolz auf dich sein.,You learned so much. You can be proud of yourself.,[sound:DE1K_stolz_sentence.mp3]
194,Felix? Du bist auch hier? Was für eine schöne Überraschung.,Felix? You're here too? What a nice surprise.,[sound:DE1K_überraschung_sentence.mp3]
195,Schönes Foto hast du da. Ist das der Mount Everest im Hintergrund?,Beautiful photo you have there. Is that Mount Everest in the background?,[sound:DE1K_hintergrund_sentence.mp3]
196,Bitte nicht schreien. Das ist eine Bibliothek und kein Stadion.,Please do not scream. This is a library and not a stadium.,[sound:DE1K_schreien_sentence.mp3]
197,Der Polizist hat mich an der Kreuzung gestoppt.,The policeman stopped me at the intersection.,[sound:DE1K_polizist_sentence.mp3]
198,"Ich benutze die sozialen Medien, um mit meinen Freunden in Kontakt zu bleiben.",I use social media to stay in touch with my friends.,[sound:DE1K_benutzen_sentence.mp3]
199,Halt die Klappe!,Keep your mouth shut!,[sound:DE1K_klappe_sentence.mp3]
200,Du hast eine Sportmedaille? Das musst du mir erst mal beweisen.,Do you have a sports medal? You have to prove that to me first.,[sound:DE1K_beweisen_sentence.mp3]
201,"Ich trau mich nicht ins Wasser. Was ist, wenn ein Hai kommt?",I don't dare to go into the water. What if a shark comes?,[sound:DE1K_trauen_sentence.mp3]
202,Bist du neu in der Stadt? Ich zeig dir die besten Restaurants.,Are you new in the city? I'll show you the best restaurants.,[sound:DE1K_stadt_sentence.mp3]
203,Tom geht lieber in die Bibliothek als in die Disco.,Tom prefers going to the library over the disco.,[sound:DE1K_lieber_sentence.mp3]
204,Darf ich meinen Laptop mitnehmen?,Can I take my laptop with me?,[sound:DE1K_mitnehmen_sentence.mp3]
205,"Wir wollen doch nicht, dass hier jemand verletzt wird.",We don't want someone to get hurt here.,[sound:DE1K_verletzen_sentence.mp3]
206,Ich bin echt eifersüchtig auf seine neuen Schuhe.,I'm really jealous of his new shoes.,[sound:DE1K_eifersüchtig_sentence.mp3]
207,Für die Party ist alles gut vorbereitet.,Everything is well prepared for the party.,[sound:DE1K_vorbereiten_sentence.mp3]
208,Du weißt tatsächlich sehr viel über Pinguine.,You actually know a lot about penguins.,[sound:DE1K_tatsächlich_sentence.mp3]
209,"Komm, wir springen in See!","Come on, let's jump in the lake!",[sound:DE1K_springen_sentence.mp3]
210,"Ich kann nicht glauben, dass wir gewonnen haben.",I can't believe we won.,[sound:DE1K_gewinnen_sentence.mp3]
211,Ich bewundere die Ehe der beiden wirklich sehr.,I really admire their marriage.,[sound:DE1K_ehe_sentence.mp3]
212,"Ich denke es war die richtige Entscheidung, Deutsch zu lernen.",I think it was the right decision to learn German.,[sound:DE1K_entscheidung_sentence.mp3]
213,"Wenn der Teig zu trocken ist, kannst du noch einen Schuss Milch dazugeben.","If the dough is too dry, you can add a dash of milk.",[sound:DE1K_schuss_sentence.mp3]
214,Meine Freundin hat mich mal wieder beim Singen erwischt.,My girlfriend caught me singing again.,[sound:DE1K_erwischen_sentence.mp3]
215,Mark führt die Touristen in den Dschungel.,Mark leads the tourists into the jungle.,[sound:DE1K_führen_sentence.mp3]
216,Herzlichen Glückwunsch!,Congratulations!,[sound:DE1K_glückwunsch_sentence.mp3]
217,Bist du schon unterwegs?,Are you already on the way?,[sound:DE1K_unterwegs_sentence.mp3]
218,"Den Film habe ich schon im Kino gesehen, als er rauskam.",I saw the film in theaters when it came out.,[sound:DE1K_kino_sentence.mp3]
